value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2,CAF+pFE-DAB2+dCys1,CAF+pFE-DAB2+dCys2,CAF+pFE-DAB2+dCys_1&2,CAF+pFE-DAB2+dAsp1,CAF+pFE-DAB2+dHis1,CAF+pFE-DAB2+dHis2
B,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2,CAF+pFE-DAB2+dCys1,CAF+pFE-DAB2+dCys2,CAF+pFE-DAB2+dCys_1&2,CAF+pFE-DAB2+dAsp1,CAF+pFE-DAB2+dHis1,CAF+pFE-DAB2+dHis2
C,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2,CAF+pFE-DAB2+dCys1,CAF+pFE-DAB2+dCys2,CAF+pFE-DAB2+dCys_1&2,CAF+pFE-DAB2+dAsp1,CAF+pFE-DAB2+dHis1,CAF+pFE-DAB2+dHis2
D,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2,CAF+pFE-DAB2+dCys1,CAF+pFE-DAB2+dCys2,CAF+pFE-DAB2+dCys_1&2,CAF+pFE-DAB2+dAsp1,CAF+pFE-DAB2+dHis1,CAF+pFE-DAB2+dHis2
E,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,CAF+pFE-DAB2+dCys1+atc,CAF+pFE-DAB2+dCys2+atc,CAF+pFE-DAB2+dCys_1&2+atc,CAF+pFE-DAB2+dAsp1+atc,CAF+pFE-DAB2+dHis1+atc,CAF+pFE-DAB2+dHis2+atc
F,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,CAF+pFE-DAB2+dCys1+atc,CAF+pFE-DAB2+dCys2+atc,CAF+pFE-DAB2+dCys_1&2+atc,CAF+pFE-DAB2+dAsp1+atc,CAF+pFE-DAB2+dHis1+atc,CAF+pFE-DAB2+dHis2+atc
G,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,CAF+pFE-DAB2+dCys1+atc,CAF+pFE-DAB2+dCys2+atc,CAF+pFE-DAB2+dCys_1&2+atc,CAF+pFE-DAB2+dAsp1+atc,CAF+pFE-DAB2+dHis1+atc,CAF+pFE-DAB2+dHis2+atc
H,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,CAF+pFE-DAB2+dCys1+atc,CAF+pFE-DAB2+dCys2+atc,CAF+pFE-DAB2+dCys_1&2+atc,CAF+pFE-DAB2+dAsp1+atc,CAF+pFE-DAB2+dHis1+atc,CAF+pFE-DAB2+dHis2+atc
